游资,代码,股票,净额(万元)
湖里大道,002575,群兴玩具,-3192.84
湖里大道,000409,云鼎科技,-4898.56
思明南路,300938,信测标准,-1797.10
思明南路,835579,机科股份,-2118.83
呼家楼,837006,晟楠科技,-674.93
低位挖掘,300938,信测标准,5194.80
低位挖掘,002757,南兴股份,2082.10
低位挖掘,000678,襄阳轴承,2068.63
低位挖掘,300819,聚杰微纤,1257.44
低位挖掘,600361,创新新材,1068.22
低位挖掘,605069,正和生态,963.44
低位挖掘,001333,光华股份,-61.73
低位挖掘,833030,立方控股,-1838.28
低位挖掘,300840,酷特智能,-3653.17
南京帮,603048,浙江黎明,-2075.52
南京帮,000409,云鼎科技,-3412.07
小睿睿,002369,卓翼科技,10049.30
T王,603300,海南华铁,15616.12
T王,002261,拓维信息,11338.87
T王,002369,卓翼科技,5842.97
T王,603618,杭电股份,4431.65
T王,605066,天正电气,3188.15
T王,603700,宁水集团,3022.97
T王,833030,立方控股,2460.84
T王,000678,襄阳轴承,2040.13
T王,605100,华丰股份,1982.56
T王,837006,晟楠科技,1573.31
T王,601177,杭齿前进,1325.46
T王,002326,永太科技,1205.31
T王,603200,上海洗霸,1038.98
T王,300840,酷特智能,1011.22
T王,836263,中航泰达,695.23
T王,300311,任子行,548.60
T王,870976,视声智能,308.63
T王,002052,*ST同洲,248.64
T王,838810,春光药装,239.54
T王,002227,奥 特 迅,239.54
T王,301208,中亦科技,70.05
T王,835579,机科股份,64.84
T王,002336,*ST人乐,38.98
T王,000903,云内动力,0.14
T王,002093,国脉科技,-33.03
T王,301287,康力源,-89.27
T王,830779,武汉蓝电,-425.61
T王,831856,浩淼科技,-647.75
T王,002757,南兴股份,-686.97
T王,002196,方正电机,-3925.58
T王,603496,恒为科技,-4025.77
T王,300170,汉得信息,-9954.63
T王,600602,云赛智联,-19781.83
量化基金,600589,大位科技,6651.03
量化基金,300170,汉得信息,6468.69
量化基金,600714,金瑞矿业,4604.40
量化基金,002115,三维通信,4542.85
量化基金,605319,无锡振华,4317.31
量化基金,603270,金帝股份,3296.24
量化基金,603618,杭电股份,2603.46
量化基金,603700,宁水集团,1901.97
量化基金,600397,安源煤业,1866.76
量化基金,688333,铂力特,1864.78
量化基金,603200,上海洗霸,1156.59
量化基金,600302,标准股份,-442.32
量化基金,002227,奥 特 迅,-569.24
量化基金,603048,浙江黎明,-1215.09
量化基金,605100,华丰股份,-2420.18
量化基金,603039,泛微网络,-5794.78
量化基金,600602,云赛智联,-11622.31
量化基金,603300,海南华铁,-17727.35
沪股通专用,603300,海南华铁,8133.76
沪股通专用,605286,同力日升,1268.69
沪股通专用,600602,云赛智联,691.92
沪股通专用,603496,恒为科技,152.07
沪股通专用,605319,无锡振华,-601.00
沪股通专用,600589,大位科技,-636.74
沪股通专用,600588,用友网络,-1002.33
沪股通专用,600361,创新新材,-1730.20
沪股通专用,688333,铂力特,-4310.52
沪股通专用,603039,泛微网络,-6102.85
深股通专用,000409,云鼎科技,6546.92
深股通专用,000903,云内动力,3798.70
深股通专用,300953,震裕科技,3706.29
深股通专用,002093,国脉科技,128.04
深股通专用,300170,汉得信息,-881.35
深股通专用,002326,永太科技,-4289.46
深股通专用,002261,拓维信息,-9853.81
深股通专用,001339,智微智能,-10007.20
机构专用,688068,热景生物,19795.77
机构专用,600602,云赛智联,19696.71
机构专用,300840,酷特智能,8857.22
机构专用,002115,三维通信,8433.20
机构专用,001319,铭科精技,7572.62
机构专用,600589,大位科技,7459.73
机构专用,603270,金帝股份,6478.61
机构专用,001339,智微智能,6049.00
机构专用,300938,信测标准,2826.35
机构专用,605319,无锡振华,1959.27
机构专用,002369,卓翼科技,1773.75
机构专用,603039,泛微网络,1738.34
机构专用,300515,三德科技,1506.15
机构专用,001368,通达创智,1389.94
机构专用,300311,任子行,1294.66
机构专用,301208,中亦科技,1274.37
机构专用,300611,美力科技,637.73
机构专用,002196,方正电机,489.13
机构专用,300553,集智股份,472.44
机构专用,301225,恒勃股份,355.11
机构专用,002336,*ST人乐,-66.96
机构专用,300819,聚杰微纤,-116.57
机构专用,001333,光华股份,-126.97
机构专用,600361,创新新材,-481.91
机构专用,301287,康力源,-636.13
机构专用,002361,神剑股份,-687.75
机构专用,002757,南兴股份,-828.16
机构专用,002227,奥 特 迅,-1456.81
机构专用,000678,襄阳轴承,-1457.91
机构专用,002326,永太科技,-1487.31
机构专用,300248,新开普,-2025.01
机构专用,605286,同力日升,-3268.54
机构专用,688333,铂力特,-10463.17
机构专用,300953,震裕科技,-18125.97
机构专用,300170,汉得信息,-31947.76
