序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,振幅,昨日封板时间,昨日连板数,涨停统计,所属行业
21,601136,首创证券,-3.629924774169922,21.77,24.85,2175641264,10481902326.0,59504677000.159996,20.573640823364258,0.09195402264595032,2.6560425758361816,141256,1,2/1,证券
22,603088,宁波精达,4.375,11.69,12.32,858287616,5092083198.719999,5118721809.599999,17.084121704101562,0.08561643958091736,11.339285850524902,093706,1,2/1,通用设备
23,002885,京泉华,-4.685408115386963,14.24,16.43,586711616,3310615250.2400002,3871951692.8,17.40262222290039,0.07027406990528107,4.953145980834961,110242,1,2/1,消费电子
24,002315,焦点科技,-2.4071807861328125,47.84,53.92,2434431008,9665264269.44,15176564116.480001,23.80384635925293,0.06274838000535965,13.525091171264648,101315,1,2/1,互联网服
25,603283,赛腾股份,-2.9195985794067383,64.84,73.47,956057616,12643906856.320002,12962271256.320002,7.426088333129883,0.061728399246931076,5.180416107177734,100549,1,2/1,专用设备
26,002335,科华数据,-2.6907553672790527,50.63,57.23,3658555808,20294062695.18,23369413852.32,17.65289306640625,0.05928853526711464,7.8224101066589355,142815,1,2/1,电源设备
27,000997,新 大 陆,-2.2029898166656494,24.86,27.96,1404904464,25514979807.239998,25657084787.84,5.388625144958496,0.04024144634604454,6.687647819519043,145100,1,2/1,互联网服
28,603507,振江股份,0.591278612613678,27.22,29.77,595693856,5016681576.54,5016681576.54,11.74969482421875,0.036751192063093185,8.019216537475586,140405,1,2/1,风电设备
29,603286,日盈电子,2.437591791152954,34.88,37.46,649651424,3986921113.28,4066726553.28,16.03105926513672,0.02867794595658779,8.839941024780273,094435,1,2/1,汽车零部
30,000409,云鼎科技,10.035087585449219,15.68,15.68,2212392448,6638022081.599999,10635281628.16,33.47886276245117,0.0,6.315789222717285,092500,4,5/5,互联网服
31,000536,华映科技,-5.396825313568115,5.96,6.93,2117003536,16467971795.36,16485555488.0,12.630335807800293,0.0,6.031745910644531,111445,1,2/1,光学光电
32,000665,湖北广电,10.02087688446045,5.27,5.27,92314089,5992571439.099999,5992777801.759999,1.5404753684997559,0.0,0.0,095503,1,2/2,文化传媒
33,000681,视觉中国,-4.260174751281738,25.17,28.92,4261221584,17018872772.310001,17633534164.800003,23.950719833374023,0.0,9.509319305419922,112936,1,2/1,文化传媒
34,000710,贝瑞基因,2.7909739017486572,17.31,18.52,1494606464,5509056244.83,6119456680.32,26.52222442626953,0.0,11.69833755493164,144403,1,5/3,医疗器械
35,000880,潍柴重机,1.122853398323059,30.62,33.31,1314972992,4965400440.0,10145037016.960001,26.30630111694336,0.0,8.058123588562012,093630,1,2/1,通用设备
36,000903,云内动力,10.027100563049316,4.06,4.06,917236368,7796262290.879999,7916062822.079999,11.932638168334961,0.0,5.691057205200195,092500,1,2/2,汽车零部
37,001319,铭科精技,9.986945152282715,33.7,33.7,866934544,2054587900.0000002,4765180000.0,43.49639129638672,0.0,8.812009811401367,093233,1,2/2,汽车零部
38,001333,光华股份,10.008665084838867,25.39,25.39,182395239,1117160000.0,3249920000.0,16.694419860839844,0.0,8.188907623291016,130524,1,2/2,化学制品
